timestamp,category,provider,model,deployment,test_id,run_id,latency_ms,ttft_ms,input_size,output_size,input_unit,output_unit,cost_usd,quality_metric,quality_metric_name,output_preview,error
2026-05-23T23:13:49.497+00:00,llm,openai,gpt-4o,cloud,p1_factual_corto,1,2500.0634000170976,2270.8225999958813,36,24,tokens,tokens,0.00033,,,"La capital de Costa Rica es San José, y su área metropolitana tiene aproximadamente 2,2 millones de habitantes.",
2026-05-23T23:13:50.210+00:00,llm,openai,gpt-4o,cloud,p1_factual_corto,2,713.1329000694677,602.6930999942124,36,23,tokens,tokens,0.00032,,,"La capital de Costa Rica es San José y su área metropolitana tiene aproximadamente 2,5 millones de habitantes.",
2026-05-23T23:13:51.105+00:00,llm,openai,gpt-4o,cloud,p1_factual_corto,3,894.8851999593899,768.2593999197707,36,21,tokens,tokens,0.0003,,,La capital de Costa Rica es San José y su área metropolitana tiene aproximadamente 2 millones de habitantes.,
2026-05-23T23:13:51.827+00:00,llm,openai,gpt-4o,cloud,p1_factual_corto,4,722.1086999634281,542.9699000669643,36,24,tokens,tokens,0.00033,,,"La capital de Costa Rica es San José, y su área metropolitana tiene aproximadamente 1,5 millones de habitantes.",
2026-05-23T23:13:52.419+00:00,llm,openai,gpt-4o,cloud,p1_factual_corto,5,591.808500001207,355.34760006703436,36,23,tokens,tokens,0.00032,,,"La capital de Costa Rica es San José y su área metropolitana tiene aproximadamente 1,7 millones de habitantes.",
2026-05-23T23:13:56.100+00:00,llm,openai,gpt-4o,cloud,p2_razonamiento,1,3681.1080999905244,1580.3375999676064,110,423,tokens,tokens,0.004505,,,"Para determinar qué combinaciones de modelos se pueden mostrar sin exceder el límite de 50 mil triángulos, debemos considerar las siguientes combinaciones posibles de los modelos Max, Winston y Liam: ",
2026-05-23T23:13:58.922+00:00,llm,openai,gpt-4o,cloud,p2_razonamiento,2,2821.9131999649107,459.1624999884516,110,547,tokens,tokens,0.005745,,,"Para determinar qué combinaciones de modelos de agentes virtuales se pueden mostrar simultáneamente sin exceder el límite de 50,000 triángulos, necesitamos evaluar las sumas de los triángulos de cada ",
2026-05-23T23:14:01.903+00:00,llm,openai,gpt-4o,cloud,p2_razonamiento,3,2980.7998000178486,463.6315000243485,110,514,tokens,tokens,0.005415,,,"Para determinar qué combinaciones de modelos se pueden mostrar sin exceder el límite de 50 mil triángulos, analizaremos cada combinación posible. Los modelos y sus respectivos requerimientos son:  - M",
2026-05-23T23:14:04.403+00:00,llm,openai,gpt-4o,cloud,p2_razonamiento,4,2499.4638999924064,472.82620007172227,110,426,tokens,tokens,0.004535,,,"Para determinar qué combinaciones de modelos se pueden mostrar simultáneamente sin exceder el límite de 50 mil triángulos, primero analizaremos las diferentes combinaciones posibles de los modelos Max",
2026-05-23T23:14:07.629+00:00,llm,openai,gpt-4o,cloud,p2_razonamiento,5,3226.1493999976665,973.8808999536559,110,448,tokens,tokens,0.004755,,,"Para determinar qué combinaciones de los modelos Max, Winston y Liam pueden mostrarse simultáneamente sin exceder el límite de 50,000 triángulos, debemos considerar las combinaciones posibles y calcul",
